"Age ("
"m) L M S 3rd 5th 10th 25th 50th 75th 85th 90th 95th 97th"
"13 0.6467443 17.03177 0.1263857 13.1574 13.6239 14.35336 15.60193 17.03177 18.50534 19.31375 19.86812 20.69992 21.24655"
"14 0.6612759 16.92238 0.1259867 13.07781 13.54153 14.26618 15.50526 16.92238 18.3809 19.18025 19.7281 20.54966 21.08926"
"15 0.653456 16.81222 0.1256185 13.0069 13.46555 14.18247 15.40885 16.81222 18.25743 19.04983 19.59306 20.40789 20.9432"
"16 0.6243388 16.70627 0.1252878 12.94743 13.39909 14.10588 15.31707 16.70627 18.14029 18.92798 19.46853 20.28019 20.81394"
"17 0.5773425 16.60459 0.125005 12.89714 13.34043 14.03535 15.22964 16.60459 18.02944 18.81439 19.35399 20.16558 20.70019"
"18 0.5159847 16.50507 0.1247742 12.8523 13.28627 13.96815 15.14434 16.50507 17.92239 18.70622 19.24627 20.06038 20.59784"
"19 0.4433818 16.40689 0.1245953 12.81062 13.23472 13.90283 15.06023 16.40689 17.81805 18.60211 19.14378 19.96258 20.50458"
"20 0.3624861 16.31007 0.1244583 12.77093 13.18491 13.83894 14.97726 16.31007 17.71615 18.50147 19.04571 19.87094 20.41888"
"21 0.2763424 16.21228 0.1243501 12.73039 13.13425 13.77414 14.89327 16.21228 17.61384 18.40105 18.94843 19.78127 20.33613"
"22 0.1872552 16.11089 0.1242617 12.68622 13.08006 13.70588 14.80578 16.11089 17.508 18.29734 18.84815 19.68926 20.25165"
"23 9.67E-02 16.00386 0.1241857 12.63643 13.02041 13.6323 14.71294 16.00386 17.39625 18.1877 18.74202 19.59169 20.16197"
"24 5.48E-03 15.89138 0.1241153 12.58105 12.95538 13.55353 14.61492 15.89138 17.27866 18.07209 18.6299 19.4883 20.06673"
"25 -8.65E-02 15.77643 0.1240451 12.52262 12.88754 13.47222 14.51454 15.77643 17.15841 17.9538 18.51517 19.38259 19.96951"
"26 -0.1795667 15.66346 0.1239676 12.46497 12.82077 13.39235 14.41598 15.66346 17.04028 17.83781 18.40297 19.27996 19.87594"
"27 -0.273515 15.55574 0.1238819 12.41067 12.75774 13.3167 14.32223 15.55574 16.92779 17.72779 18.29707 19.18437 19.79009"
"28 -0.3676666 15.45438 0.123793 12.36036 12.69912 13.24606 14.23425 15.45438 16.82218 17.62504 18.19878 19.09715 19.71333"
"29 -0.4609407 15.36039 0.1237101 12.3144 12.64538 13.181 14.15284 15.36039 16.72459 17.53071 18.10928 19.01944 19.64676"
"30 -0.55182 15.27568 0.1236388 12.27393 12.59774 13.12292 14.07966 15.27568 16.6371 17.4469 18.03061 18.95322 19.59225"
"31 -0.6387666 15.20156 0.1235736 12.23984 12.55717 13.07288 14.01589 15.20156 16.56096 17.37474 17.9638 18.89921 19.55029"
"32 -0.7204627 15.13832 0.1235031 12.21243 12.52395 13.03119 13.9619 15.13832 16.49629 17.31416 17.90858 18.85675 19.51987"
"33 -0.7961434 15.08584 0.123414 12.19182 12.49821 12.99792 13.91765 15.08584 16.44275 17.26461 17.86422 18.82474 19.49958"
"34 -0.865136 15.04402 0.1232973 12.17808 12.47997 12.97307 13.88311 15.04402 16.40009 17.22569 17.83014 18.80228 19.48819"
"35 -0.926369 15.01228 0.1231457 12.17079 12.4688 12.95619 13.85781 15.01228 16.36752 17.19639 17.80513 18.78767 19.4836"
"36 -0.9782043 14.98808 0.1229469 12.16781 12.46256 12.94508 13.83942 14.98808 16.34201 17.17323 17.78531 18.77623 19.48039"
"37 -1.019769 14.96808 0.1226998 12.16636 12.45838 12.93682 13.82485 14.96808 16.31984 17.1522 17.76637 18.76304 19.47314"
"38 -1.050418 14.94987 0.1224117 12.1643 12.45412 12.92918 13.8118 14.94987 16.29845 17.13055 17.74542 18.74489 19.45829"
"39 -1.069097 14.93101 0.1220993 12.15917 12.4473 12.91971 13.79783 14.93101 16.27529 17.10564 17.71969 18.71872 19.43251"
"40 -1.075076 14.90889 0.1217751 12.14852 12.43547 12.90593 13.78041 14.90889 16.24766 17.07466 17.68626 18.68139 19.39247"
"41 -1.069481 14.88305 0.1214512 12.13208 12.41829 12.88743 13.75905 14.88305 16.21527 17.03753 17.64528 18.63349 19.33913"
"42 -1.054275 14.85504 0.1211356 12.11145 12.39733 12.86571 13.73522 14.85504 16.18005 16.99657 17.59943 18.57848 19.27662"
"43 -1.03128 14.82596 0.1208259 12.08803 12.37392 12.84202 13.71004 14.82596 16.1433 16.95335 17.55054 18.51873 19.20786"
"44 -1.002442 14.79632 0.1205135 12.06285 12.34898 12.81714 13.68411 14.79632 16.1056 16.90861 17.49957 18.45569 19.13472"
"45 -0.9698157 14.76716 0.120192 12.03735 12.32389 12.79235 13.65856 14.76716 16.06814 16.86378 17.44817 18.39154 19.0599"
"46 -0.9352537 14.73993 0.1198513 12.01334 12.30039 12.76927 13.63488 14.73993 16.03249 16.82063 17.39831 18.3287 18.9862"
"47 -0.9002036 14.71554 0.1194839 11.99206 12.27965 12.74901 13.61405 14.71554 15.99966 16.78027 17.35126 18.26873 18.91548"
"48 -0.8649045 14.69339 0.1190986 11.97291 12.26107 12.73093 13.59545 14.69339 15.9691 16.74224 17.30661 18.21134 18.84753"
"49 -0.8294557 14.67413 0.1187172 11.95603 12.24483 12.71529 13.57947 14.67413 15.94177 16.70771 17.26568 18.15814 18.78417"
"50 -0.7943793 14.65962 0.1183663 11.94256 12.23212 12.7034 13.56766 14.65962 15.92002 16.67936 17.23145 18.11256 18.7292"
"51 -0.7599886 14.6498 0.118071 11.93202 12.22251 12.69488 13.55975 14.6498 15.90409 16.65765 17.20451 18.07548 18.68368"
"52 -0.7264867 14.64376 0.117846 11.92342 12.21499 12.68872 13.55477 14.64376 15.89314 16.64178 17.18412 18.04622 18.64698"
"53 -0.6936028 14.63923 0.1177026 11.91461 12.2074 12.68276 13.55051 14.63923 15.88481 16.62933 17.1678 18.02217 18.6164"
"54 -0.6609257 14.63419 0.1176476 11.90367 12.19784 12.67506 13.54502 14.63419 15.87696 16.61804 17.15318 18.0008 18.58927"
"55 -0.6281618 14.62736 0.1176818 11.88947 12.18515 12.66447 13.5371 14.62736 15.86818 16.60641 17.13869 17.98039 18.56372"
"56 -0.5953535 14.61789 0.1178019 11.87135 12.16867 12.6503 13.52598 14.61789 15.85751 16.5934 17.12323 17.95971 18.53846"
"57 -0.5628178 14.60606 0.1179979 11.8498 12.14884 12.63294 13.51201 14.60606 15.84513 16.57915 17.1069 17.93883 18.51351"
"58 -0.5311292 14.59255 0.1182523 11.82586 12.12668 12.61334 13.49601 14.59255 15.83163 16.56418 17.09019 17.91819 18.48928"
"59 -0.5005544 14.5775 0.1185464 11.80007 12.10268 12.59192 13.47828 14.5775 15.81695 16.54833 17.07286 17.8974 18.4653"
"60 -0.471142 14.56099 0.1188623 11.77286 12.07723 12.56903 13.45905 14.56099 15.80096 16.53135 17.05455 17.87595 18.44093"
