"Age (m) L M S 3rd 5th 10th 25th 50th 75th 90th 95th 97th"
"0 -1.79696 50.05623 5.05E-02 45.85006 46.32385 47.08092 48.42694 50.05623 51.84872 53.62516 54.77315 55.55653"
"1 -1.842832 53.27436 5.13E-02 48.74808 49.25639 50.06941 51.51734 53.27436 55.2132 57.14097 58.39024 59.24436"
"2 -1.845567 56.38081 5.20E-02 51.53411 52.07761 52.94731 54.49747 56.38081 58.462 60.53452 61.87936 62.79962"
"3 -1.775015 59.2659 5.26E-02 54.10344 54.68305 55.61021 57.26163 59.2659 61.47777 63.67705 65.10221 66.07652"
"4 -1.609874 61.88437 5.31E-02 56.41 57.02762 58.01406 59.76633 61.88437 64.21018 66.50998 67.99314 69.00376"
"5 -1.33159 64.21529 5.35E-02 58.4281 59.08714 60.13661 61.99107 64.21529 66.63494 69.00314 70.51718 71.54276"
"6 -0.9020513 66.25065 5.38E-02 60.13552 60.84292 61.96365 63.92651 66.25065 68.74095 71.13932 72.6522 73.66788"
"7 -0.3320158 68.00546 5.40E-02 61.53858 62.30359 63.50653 65.58656 68.00546 70.54465 72.93909 74.42406 75.41006"
"8 0.2951314 69.53802 0.054174 62.70368 63.53384 64.82722 67.02967 69.53802 72.11181 74.48507 75.9314 76.88123"
"9 0.8924165 70.91734 5.43E-02 63.71672 64.61543 66.00188 68.32556 70.91734 73.51936 75.86977 77.28016 78.1976"
"10 1.390615 72.21104 5.44E-02 64.66755 65.63213 67.10667 69.54282 72.21104 74.8413 77.17808 78.56339 79.45796"
"11 1.745711 73.45828 5.45E-02 65.61935 66.64018 68.18967 70.72186 73.45828 76.1207 78.45892 79.83369 80.71712"
"12 1.926729 74.66323 5.45E-02 66.60333 67.66315 69.26563 71.86928 74.66323 77.36349 79.72119 81.10176 81.98679"
"13 1.923373 75.81322 5.46E-02 67.625 68.70153 70.32938 72.97448 75.81322 78.55703 80.95297 82.35602 83.2555"
"14 1.779328 76.89892 5.46E-02 68.65907 69.73411 71.36467 74.0264 76.89892 79.69013 82.13869 83.57719 84.50114"
"15 1.553151 77.91551 5.46E-02 69.67156 70.73454 72.35427 75.01701 77.91551 80.75555 83.2652 84.74727 85.70213"
"16 1.291233 78.86737 5.46E-02 70.64204 71.68867 73.29165 75.94768 78.86737 81.75591 84.33047 85.86033 86.84962"
"17 1.038952 79.76918 5.46E-02 71.56141 72.59298 74.18029 76.82968 79.76918 82.70447 85.34284 86.92028 87.94412"
"18 0.8323192 80.63163 5.46E-02 72.42302 73.44459 75.02227 77.67093 80.63163 83.61068 86.30724 87.92783 88.98299"
"19 0.677285 81.46793 5.46E-02 73.23576 74.25287 75.82784 78.48323 81.46793 84.48833 87.23696 88.89543 89.97787"
"20 0.5652145 82.29455 5.47E-02 74.01799 75.03531 76.61356 79.28259 82.29455 85.35522 88.15138 89.84348 90.94987"
"21 0.4909775 83.11864 5.48E-02 74.77894 75.80051 77.38735 80.07624 83.11864 86.2188 89.05846 90.7803 91.9075"
"22 0.4552794 83.93867 5.49E-02 75.51776 76.54758 78.14816 80.86298 83.93867 87.07701 89.95534 91.70232 92.84667"
"23 0.4626844 84.74525 5.50E-02 76.22408 77.26645 78.88639 81.63358 84.74525 87.91955 90.83021 92.59651 93.7534"
"24 0.5131091 85.53254 5.51E-02 76.89206 77.95141 79.59639 82.38239 85.53254 88.74022 91.67637 93.45579 94.62032"
"25 0.6007795 86.30013 5.52E-02 77.52351 78.60384 80.279 83.1095 86.30013 89.53856 92.49384 94.28073 95.44849"
"26 0.7153659 87.05051 5.53E-02 78.12475 79.22929 80.93869 83.81803 87.05051 90.31754 93.28704 95.07717 96.24492"
"27 0.8377262 87.78608 5.55E-02 78.70674 79.83681 81.58199 84.51162 87.78608 91.08048 94.06219 95.85402 97.02061"
"28 0.9463854 88.50621 5.56E-02 79.28027 80.43462 82.21382 85.19138 88.50621 91.82771 94.8227 96.61752 97.78409"
"29 1.03548 89.20699 5.57E-02 79.8457 81.0221 82.83234 85.85406 89.20699 92.55545 95.5655 97.36527 98.53348"
"30 1.103297 89.89073 5.58E-02 80.40686 81.60268 83.44048 86.50211 89.89073 93.26621 96.29348 98.10047 99.27214"
"31 1.147754 90.56293 5.59E-02 80.9708 82.18297 84.04433 87.14112 90.56293 93.96575 97.01287 98.82969 100.0069"
"32 1.166705 91.22433 5.59E-02 81.54047 82.7654 84.64569 87.77219 91.22433 94.65484 97.72475 99.55427 100.7394"
"33 1.165316 91.87347 5.60E-02 82.11288 83.34744 85.24255 88.39381 91.87347 95.33147 98.42612 100.2705 101.4652"
"34 1.153208 92.51047 5.60E-02 82.6838 83.92596 85.83319 89.00573 92.51047 95.99497 99.11463 100.9744 102.1794"
"35 1.139321 93.13738 5.60E-02 83.25002 84.49899 86.41716 89.60922 93.13738 96.64701 99.79066 101.6654 102.8803"
"36 1.129097 93.75609 0.056007 83.80973 85.06551 86.99451 90.20557 93.75609 97.28933 100.4552 102.3437 103.5678"
"37 1.119866 94.37095 5.60E-02 84.36799 85.63033 87.56974 90.79903 94.37095 97.92673 101.1138 103.0154 104.2481"
"38 1.101783 94.99052 5.60E-02 84.93785 86.20531 88.15326 91.39851 94.99052 98.56876 101.778 103.6937 104.9358"
"39 1.067672 95.62286 0.0559065 85.53097 86.80121 88.75469 92.01241 95.62286 99.22411 102.4578 104.3897 105.643"
"40 1.014811 96.27083 5.58E-02 86.15189 87.42221 89.37772 92.64388 96.27083 99.89575 103.1566 105.1074 106.374"
"41 0.9456667 96.93585 5.58E-02 86.80039 88.06848 90.02303 93.29412 96.93585 100.585 103.8756 105.8476 107.1293"
"42 0.867392 97.61244 5.57E-02 87.46763 88.73209 90.68378 93.95741 97.61244 101.2857 104.607 106.6014 107.8992"
"43 0.7847034 98.29029 5.55E-02 88.14233 89.40221 91.34966 94.62374 98.29029 101.9865 105.3381 107.355 108.6693"
"44 0.7007817 98.95751 5.54E-02 88.8125 90.06705 92.00909 95.28164 98.95751 102.6747 106.0551 108.0938 109.4239"
"45 0.6232255 99.605 5.52E-02 89.46603 90.71537 92.65184 95.92187 99.605 103.3402 106.746 108.8042 110.1487"
"46 0.5601411 100.2275 5.50E-02 90.09361 91.33878 93.27077 96.53866 100.2275 103.977 107.4033 109.4772 110.8334"
"47 0.5189113 100.8213 5.48E-02 90.68732 91.93026 93.86005 97.12767 100.8213 104.5812 108.0218 110.1064 111.4705"
"48 0.5080876 101.3813 0.0545803 91.23702 92.48074 94.41202 97.6829 101.3813 105.1474 108.5947 110.6839 112.0512"
"49 0.530116 101.9085 5.44E-02 91.74052 92.9885 94.92564 98.20433 101.9085 105.677 109.1237 111.2113 112.577"
"50 0.5777184 102.4086 5.41E-02 92.20461 93.45982 95.40659 98.6973 102.4086 106.1776 109.6189 111.7005 113.0612"
"51 0.6479912 102.8883 5.40E-02 92.63491 93.90031 95.86056 99.16772 102.8883 106.6568 110.0892 112.1616 113.5148"
"52 0.7400159 103.351 5.38E-02 93.03386 94.31255 96.2903 99.61869 103.351 107.1186 110.5394 112.5998 113.9433"
"53 0.8526757 103.8008 5.37E-02 93.40502 94.7002 96.69962 100.0541 103.8008 107.5675 110.9743 113.0206 114.3524"
"54 0.9871423 104.2379 5.35E-02 93.7474 95.06261 97.08823 100.4742 104.2379 108.0034 111.3939 113.4236 114.742"
"55 1.144285 104.6635 5.35E-02 94.06098 95.40015 97.45692 100.8799 104.6635 108.4274 111.799 113.8098 115.1129"
"56 1.32395 105.0806 0.0533862 94.34782 95.71522 97.80848 101.2743 105.0806 108.8428 112.1931 114.1827 115.4688"
"57 1.524281 105.4892 5.33E-02 94.60734 96.00745 98.14269 101.6574 105.4892 109.2494 112.5765 114.5432 115.811"
"58 1.741061 105.8937 5.33E-02 94.84512 96.28233 98.46478 102.0338 105.8937 109.6521 112.9549 114.8976 116.1464"
"59 1.96665 106.3005 5.33E-02 95.07124 96.54913 98.78298 102.4105 106.3005 110.0575 113.336 115.2549 116.4847"
"60 2.191978 106.7113 5.33E-02 95.29372 96.81459 99.10227 102.7904 106.7113 110.4677 113.7228 115.6189 116.8306"
